,base_market,quote_market,hedge_ratio,half_life
74,YFI-USD,DOT-USD,1266.3198804311805,14.0
75,COMP-USD,NEAR-USD,35.680677448889185,5.0
76,COMP-USD,SOL-USD,2.048512145517888,8.0
77,COMP-USD,UNI-USD,9.148688611903937,11.0
78,EOS-USD,BTC-USD,2.249644976789879e-05,7.0
79,EOS-USD,DOGE-USD,9.255399554081173,7.0
80,EOS-USD,LTC-USD,0.009094202334930548,9.0
81,EOS-USD,ETH-USD,0.00035613449410166434,8.0
82,NEAR-USD,CRV-USD,2.558107575266605,12.0
83,NEAR-USD,SOL-USD,0.05740346480294062,9.0
84,NEAR-USD,LTC-USD,0.01798482122609201,10.0
85,NEAR-USD,AAVE-USD,0.020677732480122706,7.0
86,NEAR-USD,UNI-USD,0.25637334457777416,9.0
87,ALGO-USD,DOT-USD,0.021717839060912385,21.0
88,ALGO-USD,SOL-USD,0.0047044882349913135,22.0
89,XMR-USD,SUSHI-USD,242.3897079356035,12.0
90,XMR-USD,ADA-USD,546.5387417798606,12.0
91,XMR-USD,BTC-USD,0.005438755435755099,16.0
92,XMR-USD,CRV-USD,312.7176617995807,18.0
93,XMR-USD,AAVE-USD,2.5275426905175093,17.0
94,XMR-USD,MATIC-USD,256.7645367621455,11.0
95,XMR-USD,AVAX-USD,14.087104172374552,14.0
96,ADA-USD,DOT-USD,0.05926727119880318,15.0
97,ADA-USD,CRV-USD,0.5721088169266071,14.0
98,ADA-USD,SOL-USD,0.012837907162623174,12.0
99,ADA-USD,AAVE-USD,0.00462464173073345,6.0
100,ADA-USD,UNI-USD,0.057335950400430644,13.0
101,UMA-USD,BTC-USD,5.062626870254839e-05,3.0
102,UMA-USD,DOT-USD,0.30124854722025907,3.0
103,UMA-USD,CRV-USD,2.905300667464017,3.0
104,UMA-USD,SOL-USD,0.06528800851433184,3.0
105,UMA-USD,DOGE-USD,20.834553333313327,3.0
106,UMA-USD,LTC-USD,0.02046156084267745,3.0
107,UMA-USD,AAVE-USD,0.023508514115183565,3.0
108,UMA-USD,UNI-USD,0.29146703209876823,3.0
109,UMA-USD,MATIC-USD,2.3890130205920697,3.0
110,UMA-USD,1INCH-USD,5.413346759135513,3.0
111,UMA-USD,AVAX-USD,0.1310868448295197,3.0
112,UMA-USD,ETH-USD,0.0008014500602648079,3.0
113,DOT-USD,AAVE-USD,0.07801729568145188,8.0
114,CRV-USD,AVAX-USD,0.04503477047894856,12.0
115,SOL-USD,UNI-USD,4.465627580465433,11.0
116,DOGE-USD,LTC-USD,0.000982444427832077,10.0
117,DOGE-USD,MATIC-USD,0.11474074340262148,5.0
118,DOGE-USD,ETH-USD,3.847528314196957e-05,7.0
119,AAVE-USD,UNI-USD,12.397137567817154,19.0
